win_seed,lose_seed,win_pts,lose_pts,win_school_ncaa,pt_differ,season,round
11,6,94,90,Evansville,4,1989,64
14,6,75,63,Chattanooga,12,1997,32
14,3,73,70,Chattanooga,3,1997,64
4,13,61,39,Temple,22,1994,64
8,9,60,57,Temple,3,1985,64
10,7,80,63,Temple,17,1991,64
1,8,74,53,Temple,21,1988,32
6,10,77,55,Temple,22,1999,16
6,3,64,54,Temple,10,1999,32
1,13,69,47,Temple,22,1988,16
9,8,76,72,Temple,4,2013,64
10,3,72,63,Temple,9,1991,16
2,15,73,47,Temple,26,2000,64
1,16,87,73,Temple,14,1988,64
10,15,77,64,Temple,13,1991,32
6,11,61,54,Temple,7,1999,64
9,8,61,50,Temple,11,1986,64
7,10,66,64,Temple,2,2011,64
7,10,61,43,Temple,18,1996,64
9,8,62,40,Temple,22,1997,64
2,15,75,56,Temple,19,1987,64
11,6,79,65,Temple,14,2001,64
7,10,75,61,Temple,14,1993,64
7,3,67,59,Temple,8,1993,16
11,3,75,54,Temple,21,2001,32
11,7,84,72,Temple,12,2001,16
7,15,68,57,Temple,11,1993,32
5,12,88,42,VCU,46,2013,64
2,15,81,65,VCU,16,1985,64
12,5,62,59,VCU,3,2012,64
11,1,71,61,VCU,10,2011,8
11,10,72,71,VCU,1,2011,16
11,6,79,77,VCU,2,2007,64
11,3,94,76,VCU,18,2011,32
11,6,74,56,VCU,18,2011,64
11,11,59,46,VCU,13,2011,68
10,7,75,67,VCU,8,2016,64
8,9,84,72,Colorado St.,12,2013,64
10,7,68,46,Colorado St.,22,1989,64
8,9,74,68,Rhode Island,6,1993,64
11,3,97,94,Rhode Island,3,1988,32
11,6,87,80,Rhode Island,7,1988,64
8,13,74,68,Rhode Island,6,1998,16
8,1,80,75,Rhode Island,5,1998,32
11,6,84,72,Rhode Island,12,2017,64
8,9,97,74,Rhode Island,23,1998,64
5,12,57,50,Utah,7,2015,64
4,5,73,67,Utah,6,1996,32
3,14,80,69,Utah,11,2016,64
5,4,75,64,Utah,11,2015,32
3,1,65,59,Utah,6,1998,4
2,15,80,58,Utah,22,1999,64
3,14,85,68,Utah,17,1998,64
3,10,65,62,Utah,3,1998,16
3,1,76,51,Utah,25,1998,8
3,6,75,69,Utah,6,1998,32
4,13,72,43,Utah,29,1996,64
4,13,76,64,Utah,12,1995,64
8,9,86,65,Utah,21,1993,64
8,9,48,45,Utah,3,2000,64
6,11,60,54,Utah,6,2005,64
9,8,60,58,Utah,2,2003,64
6,3,67,58,Utah,9,2005,32
2,7,77,58,Utah,19,1997,32
4,5,85,84,Utah,1,1991,32
2,15,75,61,Utah,14,1997,64
4,13,82,72,Utah,10,1991,64
2,6,82,77,Utah,5,1997,16
8,9,77,62,Charlotte,15,1998,64
5,12,81,70,Charlotte,11,1999,64
9,8,70,63,Charlotte,7,2001,64
7,10,79,67,Charlotte,12,1997,64
3,14,91,73,Baylor,18,2017,64
3,11,82,78,Baylor,4,2017,32
3,11,76,68,Baylor,8,2010,32
3,14,68,59,Baylor,9,2010,64
3,10,72,49,Baylor,23,2010,16
3,10,75,70,Baylor,5,2012,16
3,14,68,60,Baylor,8,2012,64
3,11,80,63,Baylor,17,2012,32
6,11,74,60,Baylor,14,2014,64
6,3,85,55,Baylor,30,2014,32
14,3,78,71,Mercer,7,2014,64
12,4,81,51,Missouri St.,30,1999,32
12,5,43,32,Missouri St.,11,1999,64
13,4,65,60,Missouri St.,5,1987,64
9,8,59,55,Bucknell,4,2006,64
14,3,64,63,Bucknell,1,2005,64
12,5,80,75,North Dakota St.,5,2014,64
12,12,65,54,South Fla.,11,2012,68
12,5,58,44,South Fla.,14,2012,64
2,7,92,87,Oregon,5,2002,32
2,15,81,62,Oregon,19,2002,64
2,6,72,70,Oregon,2,2002,16
3,14,93,77,Oregon,16,2017,64
3,7,69,68,Oregon,1,2017,16
3,11,75,61,Oregon,14,2007,32
12,4,74,57,Oregon,17,2013,32
12,5,68,55,Oregon,13,2013,64
3,1,74,60,Oregon,14,2017,8
3,11,75,72,Oregon,3,2017,32
3,7,76,72,Oregon,4,2007,16
3,14,58,56,Oregon,2,2007,64
7,10,87,68,Oregon,19,2014,64
8,9,79,73,Oregon,6,2015,64
1,16,91,52,Oregon,39,2016,64
